stamp,module,elapsed_ms
1657065603.328254,1.2_update_frames,0.287
1657065603.304231,2.1_gnss_araim,0.688
1657065603.328254,2.2_lidar_araim,0.012
1657065603.328254,2.3_dynamic_al,0.000
1657065603.328254,2.3_state_machine,0.017
1657065603.328254,2.3_integrity_total,0.764
1657065603.328254,1.2_odom_insert_frame,3.688
1657065603.428303,1.1_pointcloud_extract,0.004
1657065603.428303,1.1_cloud_preprocess,0.202
1657065603.428303,1.1_ros_callback_total,0.252
1657065603.428303,1.2_imu_integration,0.092
1657065603.428303,1.2_pointcloud_deskew,0.010
1657065603.428303,1.2_covariance_estimation,0.194
1657065603.428303,1.2_create_factors,0.352
1657065603.428303,1.2_smoother_update,8.001
1657065603.428303,1.3_gnss_injection,0.407
1657065603.428303,1.2_update_frames_calculate_estimate,0.020
1657065603.428303,1.2_update_frames_state_copy,0.008
1657065603.428303,1.2_update_frames_sigma_p,0.023
1657065603.428303,1.2_update_frames_icp_quality,0.230
1657065603.428303,1.2_update_frames,0.427
1657065603.404346,2.1_gnss_araim,0.762
1657065603.428303,2.2_lidar_araim,0.018
1657065603.428303,2.3_dynamic_al,0.000
1657065603.428303,2.3_state_machine,0.017
1657065603.428303,2.3_integrity_total,0.861
1657065603.428303,1.2_odom_insert_frame,11.513
1657065603.528274,1.1_pointcloud_extract,0.005
1657065603.528274,1.1_cloud_preprocess,0.213
1657065603.528274,1.1_ros_callback_total,0.288
1657065603.528274,1.2_imu_integration,0.090
1657065603.528274,1.2_pointcloud_deskew,0.009
1657065603.528274,1.2_covariance_estimation,0.187
1657065603.528274,1.2_create_factors,0.241
1657065603.528274,1.2_smoother_update,8.121
1657065603.528274,1.3_gnss_injection,0.415
1657065603.528274,1.2_update_frames_calculate_estimate,0.020
1657065603.528274,1.2_update_frames_state_copy,0.008
1657065603.528274,1.2_update_frames_sigma_p,0.047
1657065603.528274,1.2_update_frames_icp_quality,0.226
1657065603.528274,1.2_update_frames,0.438
1657065603.504276,2.1_gnss_araim,0.657
1657065603.528274,2.2_lidar_araim,0.016
1657065603.528274,2.3_dynamic_al,0.000
1657065603.528274,2.3_state_machine,0.015
1657065603.528274,2.3_integrity_total,0.752
1657065603.528274,1.2_odom_insert_frame,11.249
1657065603.628301,1.1_pointcloud_extract,0.004
1657065603.628301,1.1_cloud_preprocess,0.218
1657065603.628301,1.1_ros_callback_total,0.286
1657065603.628301,1.2_imu_integration,0.077
1657065603.628301,1.2_pointcloud_deskew,0.010
1657065603.628301,1.2_covariance_estimation,0.223
1657065603.628301,1.2_create_factors,0.422
1657065603.628301,1.2_smoother_update,1.017
1657065603.628301,1.3_gnss_injection,0.304
1657065603.628301,1.2_update_frames_calculate_estimate,0.015
1657065603.628301,1.2_update_frames_state_copy,0.006
1657065603.628301,1.2_update_frames_sigma_p,0.041
1657065603.628301,1.2_update_frames_icp_quality,0.173
1657065603.628301,1.2_update_frames,0.294
1657065603.604278,2.1_gnss_araim,0.773
1657065603.628301,2.2_lidar_araim,0.012
1657065603.628301,2.3_dynamic_al,0.000
1657065603.628301,2.3_state_machine,0.008
1657065603.628301,2.3_integrity_total,0.865
1657065603.628301,1.2_odom_insert_frame,3.979
1657065603.728280,1.1_pointcloud_extract,0.004
1657065603.728280,1.1_cloud_preprocess,0.202
1657065603.728280,1.1_ros_callback_total,0.258
1657065603.728280,1.2_imu_integration,0.074
1657065603.728280,1.2_pointcloud_deskew,0.010
1657065603.728280,1.2_covariance_estimation,0.470
1657065603.728280,1.2_create_factors,0.199
1657065603.728280,1.2_smoother_update,7.197
1657065603.728280,1.3_gnss_injection,0.296
1657065603.728280,1.2_update_frames_calculate_estimate,0.017
1657065603.728280,1.2_update_frames_state_copy,0.007
1657065603.728280,1.2_update_frames_sigma_p,0.039
1657065603.728280,1.2_update_frames_icp_quality,0.182
1657065603.728280,1.2_update_frames,0.361
1657065603.704279,2.1_gnss_araim,0.665
1657065603.728280,2.2_lidar_araim,0.013
1657065603.728280,2.3_dynamic_al,0.000
1657065603.728280,2.3_state_machine,0.015
1657065603.728280,2.3_integrity_total,0.734
1657065603.728280,1.2_odom_insert_frame,10.119
1657065603.828257,1.1_pointcloud_extract,0.004
1657065603.828257,1.1_cloud_preprocess,0.214
1657065603.828257,1.1_ros_callback_total,0.274
1657065603.828257,1.2_imu_integration,0.091
1657065603.828257,1.2_pointcloud_deskew,0.020
1657065603.828257,1.2_covariance_estimation,0.310
1657065603.828257,1.2_create_factors,0.196
1657065603.828257,1.2_smoother_update,0.987
1657065603.828257,1.3_gnss_injection,0.312
1657065603.828257,1.2_update_frames_calculate_estimate,0.017
1657065603.828257,1.2_update_frames_state_copy,0.006
1657065603.828257,1.2_update_frames_sigma_p,0.042
1657065603.828257,1.2_update_frames_icp_quality,0.379
1657065603.828257,1.2_update_frames,0.504
1657065603.804270,2.1_gnss_araim,0.738
1657065603.828257,2.2_lidar_araim,0.013
1657065603.828257,2.3_dynamic_al,0.000
1657065603.828257,2.3_state_machine,0.014
1657065603.828257,2.3_integrity_total,0.804
1657065603.828257,1.2_odom_insert_frame,4.368
1657065603.928300,1.1_pointcloud_extract,0.004
1657065603.928300,1.1_cloud_preprocess,0.204
1657065603.928300,1.1_ros_callback_total,0.244
1657065603.928300,1.2_imu_integration,0.089
1657065603.928300,1.2_pointcloud_deskew,0.009
1657065603.928300,1.2_covariance_estimation,0.245
1657065603.928300,1.2_create_factors,0.230
1657065603.928300,1.2_smoother_update,10.365
1657065603.928300,1.3_gnss_injection,0.467
1657065603.928300,1.2_update_frames_calculate_estimate,0.032
1657065603.928300,1.2_update_frames_state_copy,0.011
1657065603.928300,1.2_update_frames_sigma_p,0.029
1657065603.928300,1.2_update_frames_icp_quality,0.314
1657065603.928300,1.2_update_frames,0.548
1657065603.904271,2.1_gnss_araim,0.736
1657065603.928300,2.2_lidar_araim,0.019
1657065603.928300,2.3_dynamic_al,0.000
1657065603.928300,2.3_state_machine,0.018
1657065603.928300,2.3_integrity_total,0.839
1657065603.928300,1.2_odom_insert_frame,14.176
1657065604.028222,1.1_pointcloud_extract,0.004
1657065604.028222,1.1_cloud_preprocess,0.224
1657065604.028222,1.1_ros_callback_total,0.296
1657065604.028222,1.2_imu_integration,0.090
1657065604.028222,1.2_pointcloud_deskew,0.009
1657065604.028222,1.2_covariance_estimation,0.283
1657065604.028222,1.2_create_factors,0.233
1657065604.028222,1.2_smoother_update,10.231
1657065604.028222,1.3_gnss_injection,0.480
1657065604.028222,1.2_update_frames_calculate_estimate,0.027
1657065604.028222,1.2_update_frames_state_copy,0.010
1657065604.028222,1.2_update_frames_sigma_p,0.049
1657065604.028222,1.2_update_frames_icp_quality,0.321
1657065604.028222,1.2_update_frames,0.571
1657065604.004269,2.1_gnss_araim,0.895
1657065604.028222,2.2_lidar_araim,0.019
1657065604.028222,2.3_dynamic_al,0.000
1657065604.028222,2.3_state_machine,0.024
1657065604.028222,2.3_integrity_total,1.008
1657065604.028222,1.2_odom_insert_frame,14.045
1657065604.128245,1.1_pointcloud_extract,0.004
1657065604.128245,1.1_cloud_preprocess,0.213
1657065604.128245,1.1_ros_callback_total,0.283
1657065604.128245,1.2_imu_integration,0.092
1657065604.128245,1.2_pointcloud_deskew,0.010
1657065604.128245,1.2_covariance_estimation,0.108
1657065604.128245,1.2_create_factors,0.243
1657065604.128245,1.2_smoother_update,1.488
1657065604.128245,1.3_gnss_injection,0.428
1657065604.128245,1.2_update_frames_calculate_estimate,0.022
1657065604.128245,1.2_update_frames_state_copy,0.009
1657065604.128245,1.2_update_frames_sigma_p,0.048
1657065604.128245,1.2_update_frames_icp_quality,0.213
1657065604.128245,1.2_update_frames,0.381
1657065604.104218,2.1_gnss_araim,0.656
1657065604.128245,2.2_lidar_araim,0.018
1657065604.128245,2.3_dynamic_al,0.000
1657065604.128245,2.3_state_machine,0.018
1657065604.128245,2.3_integrity_total,0.775
1657065604.128245,1.2_odom_insert_frame,4.578
1657065604.228272,1.1_pointcloud_extract,0.005
1657065604.228272,1.1_cloud_preprocess,0.224
1657065604.228272,1.1_ros_callback_total,0.302
1657065604.228272,1.2_imu_integration,0.079
1657065604.228272,1.2_pointcloud_deskew,0.012
1657065604.228272,1.2_covariance_estimation,0.223
1657065604.228272,1.2_create_factors,0.197
1657065604.228272,1.2_smoother_update,9.368
1657065604.228272,1.3_gnss_injection,0.376
1657065604.228272,1.2_update_frames_calculate_estimate,0.022
1657065604.228272,1.2_update_frames_state_copy,0.008
1657065604.228272,1.2_update_frames_sigma_p,0.041
1657065604.228272,1.2_update_frames_icp_quality,0.197
1657065604.228272,1.2_update_frames,0.401
1657065604.204278,2.1_gnss_araim,0.702
1657065604.228272,2.2_lidar_araim,0.018
1657065604.228272,2.3_dynamic_al,0.000
1657065604.228272,2.3_state_machine,0.017
1657065604.228272,2.3_integrity_total,0.818
1657065604.228272,1.2_odom_insert_frame,12.356
1657065604.328223,1.1_pointcloud_extract,0.004
1657065604.328223,1.1_cloud_preprocess,0.190
1657065604.328223,1.1_ros_callback_total,0.247
1657065604.328223,1.2_imu_integration,0.085
1657065604.328223,1.2_pointcloud_deskew,0.011
1657065604.328223,1.2_covariance_estimation,0.101
1657065604.328223,1.2_create_factors,0.314
1657065604.328223,1.2_smoother_update,1.327
1657065604.328223,1.3_gnss_injection,0.351
1657065604.328223,1.2_update_frames_calculate_estimate,0.020
1657065604.328223,1.2_update_frames_state_copy,0.007
1657065604.328223,1.2_update_frames_sigma_p,0.041
1657065604.328223,1.2_update_frames_icp_quality,0.174
1657065604.328223,1.2_update_frames,0.356
1657065604.304229,2.1_gnss_araim,0.668
1657065604.328223,2.2_lidar_araim,0.017
1657065604.328223,2.3_dynamic_al,0.000
1657065604.328223,2.3_state_machine,0.020
1657065604.328223,2.3_integrity_total,0.783
1657065604.328223,1.2_odom_insert_frame,4.253
1657065604.428251,1.1_pointcloud_extract,0.004
1657065604.428251,1.1_cloud_preprocess,0.220
1657065604.428251,1.1_ros_callback_total,0.291
