stamp,module,elapsed_ms
1657065605.232276,1.1_ros_callback_total,1.405
1657065605.232276,1.2_imu_integration,0.083
1657065605.232276,1.2_pointcloud_deskew,0.051
1657065605.232276,1.2_covariance_estimation,0.682
1657065605.232276,1.2_create_factors,0.013
1657065605.232276,1.2_smoother_update,9.105
1657065605.232276,1.3_gnss_injection,0.275
1657065605.232276,1.2_update_frames_calculate_estimate,0.014
1657065605.232276,1.2_update_frames_state_copy,0.006
1657065605.232276,1.2_update_frames_sigma_p,0.019
1657065605.232276,1.2_update_frames,0.055
1657065605.210377,2.1_gnss_araim,0.682
1657065605.232276,2.3_dynamic_al,0.000
1657065605.232276,2.3_state_machine,0.000
1657065605.232276,2.3_integrity_total,0.741
1657065605.232276,1.2_odom_insert_frame,11.531
1657065605.332267,1.1_pointcloud_extract,0.011
1657065605.332267,1.1_cloud_preprocess,1.368
1657065605.332267,1.1_ros_callback_total,1.454
1657065605.332267,1.2_imu_integration,0.083
1657065605.332267,1.2_pointcloud_deskew,0.051
1657065605.332267,1.2_covariance_estimation,0.460
1657065605.332267,1.2_create_factors,0.012
1657065605.332267,1.2_smoother_update,5.145
1657065605.332267,1.3_gnss_injection,0.233
1657065605.332267,1.2_update_frames_calculate_estimate,0.016
1657065605.332267,1.2_update_frames_state_copy,0.006
1657065605.332267,1.2_update_frames_sigma_p,0.028
1657065605.332267,1.2_update_frames,0.066
1657065605.310283,2.1_gnss_araim,0.819
1657065605.332267,2.3_dynamic_al,0.000
1657065605.332267,2.3_state_machine,0.000
1657065605.332267,2.3_integrity_total,0.878
1657065605.332267,1.2_odom_insert_frame,7.433
1657065605.432395,1.1_pointcloud_extract,0.013
1657065605.432395,1.1_cloud_preprocess,1.344
1657065605.432395,1.1_ros_callback_total,1.438
1657065605.432395,1.2_imu_integration,0.089
1657065605.432395,1.2_pointcloud_deskew,0.041
1657065605.432395,1.2_covariance_estimation,0.597
1657065605.432395,1.2_create_factors,0.016
1657065605.432395,1.2_smoother_update,1.077
1657065605.432395,1.3_gnss_injection,0.322
1657065605.432395,1.2_update_frames_calculate_estimate,0.019
1657065605.432395,1.2_update_frames_state_copy,0.008
1657065605.432395,1.2_update_frames_sigma_p,0.033
1657065605.432395,1.2_update_frames,0.084
1657065605.410258,2.1_gnss_araim,0.766
1657065605.432395,2.3_dynamic_al,0.000
1657065605.432395,2.3_state_machine,0.000
1657065605.432395,2.3_integrity_total,0.837
1657065605.432395,1.2_odom_insert_frame,3.942
1657065605.532280,1.1_pointcloud_extract,0.009
1657065605.532280,1.1_cloud_preprocess,1.307
1657065605.532280,1.1_ros_callback_total,1.385
1657065605.532280,1.2_imu_integration,0.089
1657065605.532280,1.2_pointcloud_deskew,0.038
1657065605.532280,1.2_covariance_estimation,0.714
1657065605.532280,1.2_create_factors,0.016
1657065605.532280,1.2_smoother_update,1.129
1657065605.532280,1.3_gnss_injection,0.341
1657065605.532280,1.2_update_frames_calculate_estimate,0.023
