stamp,x,y,z
1657065643.128458,-0.0231,-0.0013,-1.7809
1657065643.228521,-0.0229,-0.0009,-1.7802
1657065643.328534,-0.0229,-0.0010,-1.7812
1657065643.428542,-0.0231,-0.0009,-1.7811
1657065643.528533,-0.0234,-0.0004,-1.7813
1657065643.628483,-0.0233,-0.0005,-1.7797
1657065643.728472,-0.0232,-0.0008,-1.7788
1657065643.828520,-0.0233,-0.0012,-1.7793
1657065643.928514,-0.0231,-0.0021,-1.7796
1657065644.028491,-0.0232,-0.0017,-1.7795
1657065644.128462,-0.0232,-0.0017,-1.7802
1657065644.228456,-0.0233,-0.0015,-1.7798
1657065644.328562,-0.0230,-0.0016,-1.7782
